generator,budget_region
cats_5,SCE
cats_6,PGE
cats_7,LADWP
cats_8,LADWP
cats_9,PGE
cats_10,PGE
cats_11,PGE
cats_12,PGE
cats_13,PACW
cats_14,PGE
cats_15,NCNC
cats_16,PACW
cats_17,NCNC
cats_18,NCNC
cats_19,PGE
cats_20,NCNC
cats_21,NCNC
cats_22,PGE
cats_23,SCE
cats_24,SCE
cats_25,PGE
cats_26,PGE
cats_27,PGE
cats_28,LADWP
cats_29,SCE
cats_30,PGE
cats_31,PGE
cats_32,PGE
cats_33,PGE
cats_34,PGE
cats_35,PGE
cats_36,LADWP
cats_37,PGE
cats_38,PGE
cats_39,PGE
cats_40,PGE
cats_41,PGE
cats_42,PGE
cats_43,PGE
cats_44,PGE
cats_45,PGE
cats_46,PGE
cats_47,SCE
cats_48,SCE
cats_49,SCE
cats_50,SCE
cats_51,SCE
cats_52,SCE
cats_53,SCE
cats_54,SCE
cats_55,SCE
cats_56,PGE
cats_57,PGE
cats_58,PGE
cats_59,PGE
cats_60,SCE
cats_61,PGE
cats_62,LADWP
cats_63,PGE
cats_64,PGE
cats_65,PGE
cats_66,PGE
cats_67,SCE
cats_68,PGE
cats_69,PGE
cats_70,NCNC
cats_71,SCE
cats_72,SCE
cats_73,LADWP
cats_74,LADWP
cats_75,LADWP
cats_76,LADWP
cats_77,PACW
cats_78,PACW
cats_79,PGE
cats_80,PGE
cats_81,PGE
cats_82,PACW
cats_83,PACW
cats_84,PACW
cats_85,PACW
cats_86,NCNC
cats_87,PGE
cats_88,PGE
cats_89,PGE
cats_90,PGE
cats_91,PGE
cats_92,PGE
cats_93,PGE
cats_94,PGE
cats_95,PGE
cats_96,PGE
cats_97,PGE
cats_98,PGE
cats_99,PGE
cats_100,SCE
cats_101,SCE
cats_102,SCE
cats_103,SCE
cats_104,SCE
cats_105,PGE
cats_106,PGE
cats_107,PGE
cats_108,PGE
cats_109,PGE
cats_110,PGE
cats_111,PGE
cats_112,PGE
cats_113,PGE
cats_114,NCNC
cats_115,LADWP
cats_116,LADWP
cats_117,SCE
cats_118,PGE
cats_119,SCE
cats_120,LADWP
cats_121,SCE
cats_122,PGE
cats_123,PGE
cats_124,PGE
cats_125,PGE
cats_126,PGE
cats_127,PGE
cats_128,SCE
cats_129,PGE
cats_130,SCE
cats_131,SCE
cats_132,NCNC
cats_133,SCE
cats_134,SCE
cats_135,SCE
cats_136,PGE
cats_137,PGE
cats_138,PGE
cats_139,SCE
cats_140,SCE
cats_141,PGE
cats_142,PGE
cats_143,PGE
cats_144,PGE
cats_145,PGE
cats_146,SCE
cats_147,SCE
cats_148,SCE
cats_149,PGE
cats_150,PGE
cats_151,PGE
cats_152,PGE
cats_153,PGE
cats_154,PGE
cats_155,PGE
cats_156,SCE
cats_157,PGE
cats_158,PGE
cats_159,PGE
cats_160,PGE
cats_161,SCE
cats_162,SCE
cats_163,PGE
cats_164,PGE
cats_165,PGE
cats_166,PGE
cats_167,PGE
cats_168,PGE
cats_169,PGE
cats_170,PGE
cats_171,PGE
cats_172,PGE
cats_173,PGE
cats_174,PGE
cats_175,SCE
cats_176,PGE
cats_177,PGE
cats_178,PACW
cats_179,PACW
cats_180,PGE
cats_181,PGE
cats_182,SCE
cats_183,PGE
cats_184,PGE
cats_185,PGE
cats_186,PGE
cats_187,PGE
cats_188,PGE
cats_189,PGE
cats_190,PGE
cats_191,PGE
cats_192,PGE
cats_193,PGE
cats_194,PGE
cats_195,PGE
cats_196,PGE
cats_197,NCNC
cats_198,PGE
cats_199,PGE
cats_200,PGE
cats_201,PGE
cats_202,SCE
cats_203,LADWP
cats_204,LADWP
cats_205,PGE
cats_206,PGE
cats_207,PGE
cats_208,SCE