scenario,timepoint,site,capacity_factor
1,2035-01-01T00:00:00.000000-0800,pvu9,0.0
1,2035-01-01T00:00:00.000000-0800,pvu16,0.0
1,2035-01-01T00:00:00.000000-0800,pvu17,0.0
1,2035-01-01T00:00:00.000000-0800,pvu19,0.0
1,2035-01-01T00:00:00.000000-0800,pvu43,0.0
1,2035-01-01T00:00:00.000000-0800,pvu51,0.0
1,2035-01-01T00:00:00.000000-0800,pvu57,0.0
1,2035-01-01T00:00:00.000000-0800,pvu71,0.0
1,2035-01-01T00:00:00.000000-0800,pvu78,0.0
1,2035-01-01T00:00:00.000000-0800,pvu88,0.0
1,2035-01-01T00:00:00.000000-0800,pvu99,0.0
1,2035-01-01T00:00:00.000000-0800,pvu101,0.0
1,2035-01-01T00:00:00.000000-0800,pvu108,0.0
1,2035-01-01T00:00:00.000000-0800,pvu109,0.0
1,2035-01-01T00:00:00.000000-0800,pvu111,0.0
1,2035-01-01T00:00:00.000000-0800,pvu113,0.0
1,2035-01-01T00:00:00.000000-0800,pvu114,0.0
1,2035-01-01T00:00:00.000000-0800,pvu116,0.0
1,2035-01-01T00:00:00.000000-0800,pvu121,0.0
1,2035-01-01T00:00:00.000000-0800,pvu127,0.0
1,2035-01-01T00:00:00.000000-0800,pvu131,0.0
1,2035-01-01T00:00:00.000000-0800,pvu137,0.0
1,2035-01-01T00:00:00.000000-0800,pvu138,0.0
1,2035-01-01T00:00:00.000000-0800,pvu143,0.0
1,2035-01-01T00:00:00.000000-0800,pvu144,0.0
1,2035-01-01T00:00:00.000000-0800,pvu145,0.0
1,2035-01-01T00:00:00.000000-0800,pvu147,0.0
1,2035-01-01T00:00:00.000000-0800,pvu149,0.0
1,2035-01-01T00:00:00.000000-0800,pvu155,0.0
1,2035-01-01T00:00:00.000000-0800,pvu171,0.0
1,2035-01-01T00:00:00.000000-0800,pvu181,0.0
1,2035-01-01T00:00:00.000000-0800,pvu182,0.0
1,2035-01-01T00:00:00.000000-0800,pvu200,0.0
1,2035-01-01T00:00:00.000000-0800,pvu204,0.0
1,2035-01-01T00:00:00.000000-0800,pvu207,0.0
1,2035-01-01T00:00:00.000000-0800,pvu209,0.0
1,2035-01-01T00:00:00.000000-0800,pvu217,0.0
1,2035-01-01T00:00:00.000000-0800,pvu219,0.0
1,2035-01-01T00:00:00.000000-0800,pvu226,0.0
1,2035-01-01T00:00:00.000000-0800,pvu227,0.0
1,2035-01-01T00:00:00.000000-0800,pvu229,0.0
1,2035-01-01T00:00:00.000000-0800,pvu231,0.0
1,2035-01-01T00:00:00.000000-0800,pvu235,0.0
1,2035-01-01T00:00:00.000000-0800,pvu240,0.0
1,2035-01-01T00:00:00.000000-0800,pvu241,0.0
1,2035-01-01T00:00:00.000000-0800,pvu250,0.0
1,2035-01-01T00:00:00.000000-0800,pvu258,0.0
1,2035-01-01T00:00:00.000000-0800,pvu259,0.0
1,2035-01-01T00:00:00.000000-0800,pvu260,0.0
1,2035-01-01T00:00:00.000000-0800,pvu268,0.0
1,2035-01-01T00:00:00.000000-0800,pvu273,0.0
1,2035-01-01T00:00:00.000000-0800,pvu276,0.0
1,2035-01-01T00:00:00.000000-0800,pvu288,0.0
1,2035-01-01T00:00:00.000000-0800,pvu289,0.0
1,2035-01-01T00:00:00.000000-0800,pvu295,0.0
1,2035-01-01T00:00:00.000000-0800,pvu296,0.0
1,2035-01-01T00:00:00.000000-0800,pvu308,0.0
1,2035-01-01T00:00:00.000000-0800,pvu309,0.0
1,2035-01-01T00:00:00.000000-0800,pvu316,0.0
1,2035-01-01T00:00:00.000000-0800,pvu317,0.0
1,2035-01-01T00:00:00.000000-0800,pvu318,0.0
1,2035-01-01T00:00:00.000000-0800,pvu319,0.0
1,2035-01-01T00:00:00.000000-0800,pvu322,0.0
1,2035-01-01T00:00:00.000000-0800,pvu326,0.0
1,2035-01-01T00:00:00.000000-0800,pvu342,0.0
1,2035-01-01T00:00:00.000000-0800,pvu344,0.0
1,2035-01-01T00:00:00.000000-0800,pvu347,0.0
1,2035-01-01T00:00:00.000000-0800,pvu348,0.0
1,2035-01-01T00:00:00.000000-0800,pvu377,0.0
1,2035-01-01T00:00:00.000000-0800,pvu385,0.0
1,2035-01-01T00:00:00.000000-0800,pvu393,0.0
1,2035-01-01T00:00:00.000000-0800,pvu401,0.0
1,2035-01-01T00:00:00.000000-0800,pvu407,0.0
1,2035-01-01T00:00:00.000000-0800,pvu444,0.0
1,2035-01-01T00:00:00.000000-0800,pvu446,0.0
1,2035-01-01T00:00:00.000000-0800,pvu448,0.0
1,2035-01-01T00:00:00.000000-0800,pvu449,0.0
1,2035-01-01T00:00:00.000000-0800,pvu452,0.0
1,2035-01-01T00:00:00.000000-0800,pvu456,0.0
1,2035-01-01T00:00:00.000000-0800,pvu471,0.0
1,2035-01-01T00:00:00.000000-0800,pvu475,0.0
1,2035-01-01T00:00:00.000000-0800,pvu478,0.0
1,2035-01-01T00:00:00.000000-0800,pvu481,0.0
1,2035-01-01T00:00:00.000000-0800,pvu487,0.0
1,2035-01-01T00:00:00.000000-0800,pvu491,0.0
1,2035-01-01T00:00:00.000000-0800,pvu503,0.0
1,2035-01-01T00:00:00.000000-0800,pvu523,0.0
1,2035-01-01T00:00:00.000000-0800,pvu528,0.0
1,2035-01-01T00:00:00.000000-0800,pvu543,0.0
1,2035-01-01T00:00:00.000000-0800,pvu562,0.0
1,2035-01-01T00:00:00.000000-0800,pvu565,0.0
1,2035-01-01T00:00:00.000000-0800,pvu567,0.0
1,2035-01-01T00:00:00.000000-0800,pvu570,0.0
1,2035-01-01T00:00:00.000000-0800,pvu573,0.0
1,2035-01-01T00:00:00.000000-0800,pvu576,0.0
1,2035-01-01T00:00:00.000000-0800,pvu577,0.0
1,2035-01-01T00:00:00.000000-0800,pvu582,0.0
1,2035-01-01T00:00:00.000000-0800,pvu603,0.0
1,2035-01-01T00:00:00.000000-0800,pvu610,0.0
1,2035-01-01T00:00:00.000000-0800,pvu611,0.0
1,2035-01-01T00:00:00.000000-0800,pvu613,0.0
1,2035-01-01T00:00:00.000000-0800,pvu618,0.0
1,2035-01-01T00:00:00.000000-0800,pvu619,0.0
1,2035-01-01T00:00:00.000000-0800,pvu649,0.0
1,2035-01-01T00:00:00.000000-0800,pvu694,0.0
1,2035-01-01T00:00:00.000000-0800,pvu775,0.0
1,2035-01-01T00:00:00.000000-0800,pvu779,0.0
1,2035-01-01T00:00:00.000000-0800,pvu781,0.0
1,2035-01-01T00:00:00.000000-0800,pvu782,0.0
1,2035-01-01T00:00:00.000000-0800,pvu796,0.0
1,2035-01-01T00:00:00.000000-0800,pvu801,0.0
1,2035-01-01T00:00:00.000000-0800,pvu803,0.0
1,2035-01-01T00:00:00.000000-0800,pvu806,0.0
1,2035-01-01T00:00:00.000000-0800,pvu811,0.0
1,2035-01-01T00:00:00.000000-0800,pvu812,0.0
1,2035-01-01T00:00:00.000000-0800,pvu814,0.0
1,2035-01-01T00:00:00.000000-0800,pvu816,0.0
1,2035-01-01T00:00:00.000000-0800,pvu818,0.0
1,2035-01-01T00:00:00.000000-0800,pvu822,0.0
1,2035-01-01T00:00:00.000000-0800,pvu838,0.0
1,2035-01-01T00:00:00.000000-0800,pvu839,0.0
1,2035-01-01T00:00:00.000000-0800,pvu859,0.0
1,2035-01-01T00:00:00.000000-0800,pvu877,0.0
1,2035-01-01T00:00:00.000000-0800,pvu879,0.0
1,2035-01-01T00:00:00.000000-0800,pvu883,0.0
1,2035-01-01T00:00:00.000000-0800,pvu893,0.0
1,2035-01-01T00:00:00.000000-0800,pvu898,0.0
1,2035-01-01T00:00:00.000000-0800,pvu909,0.0
1,2035-01-01T00:00:00.000000-0800,pvu915,0.0
1,2035-01-01T00:00:00.000000-0800,pvu917,0.0
1,2035-01-01T00:00:00.000000-0800,pvu945,0.0
1,2035-01-01T00:00:00.000000-0800,pvu957,0.0
1,2035-01-01T00:00:00.000000-0800,pvu974,0.0
1,2035-01-01T00:00:00.000000-0800,pvu975,0.0
1,2035-01-01T00:00:00.000000-0800,pvu984,0.0
1,2035-01-01T00:00:00.000000-0800,pvu987,0.0
1,2035-01-01T00:00:00.000000-0800,pvu990,0.0
1,2035-01-01T00:00:00.000000-0800,pvu993,0.0
1,2035-01-01T00:00:00.000000-0800,pvu995,0.0
1,2035-01-01T00:00:00.000000-0800,pvu998,0.0
1,2035-01-01T00:00:00.000000-0800,pvu999,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1000,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1002,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1006,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1013,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1016,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1023,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1025,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1031,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1033,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1035,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1037,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1038,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1041,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1051,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1053,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1059,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1061,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1080,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1084,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1085,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1090,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1096,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1110,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1114,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1118,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1143,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1146,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1168,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1172,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1176,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1178,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1180,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1183,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1188,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1194,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1206,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1241,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1247,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1251,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1264,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1268,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1284,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1320,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1326,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1330,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1336,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1338,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1344,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1354,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1382,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1384,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1391,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1402,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1412,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1413,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1418,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1419,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1421,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1423,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1426,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1429,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1431,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1435,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1442,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1447,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1451,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1455,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1461,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1464,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1470,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1487,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1505,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1506,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1508,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1521,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1523,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1541,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1553,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1567,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1577,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1578,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1601,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1603,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1623,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1640,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1650,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1661,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1666,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1674,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1676,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1703,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1712,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1713,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1763,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1776,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1778,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1796,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1809,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1813,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1833,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1834,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1835,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1844,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1846,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1853,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1858,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1875,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1876,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1879,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1885,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1902,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1910,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1923,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1926,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1945,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1952,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1953,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1955,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1960,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1969,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1970,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1973,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1979,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1985,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1993,0.0
1,2035-01-01T00:00:00.000000-0800,pvu1998,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2000,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2001,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2004,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2009,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2017,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2020,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2030,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2032,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2042,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2063,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2065,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2068,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2077,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2080,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2084,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2091,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2110,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2113,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2116,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2118,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2126,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2169,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2185,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2186,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2188,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2196,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2199,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2202,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2210,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2235,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2246,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2252,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2253,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2254,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2264,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2267,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2268,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2275,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2276,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2277,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2280,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2283,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2304,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2314,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2315,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2324,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2325,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2329,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2332,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2334,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2351,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2353,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2356,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2360,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2380,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2385,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2399,0.0
1,2035-01-01T00:00:00.000000-0800,pvu2402,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7649,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7652,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7659,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7679,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7707,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7708,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7751,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7808,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7823,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7882,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7888,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7889,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7892,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7893,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7911,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7913,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7914,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7917,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7919,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7920,0.0
1,2035-01-01T00:00:00.000000-0800,pvu7939,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8006,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8009,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8014,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8045,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8082,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8102,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8142,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8185,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8186,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8196,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8231,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8244,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8269,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8302,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8303,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8304,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8315,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8340,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8355,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8357,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8387,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8398,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8405,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8472,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8486,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8572,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8573,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8587,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8589,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8600,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8660,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8673,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8690,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8691,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8704,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8739,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8766,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8775,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8830,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8833,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8865,0.0
1,2035-01-01T00:00:00.000000-0800,pvu8866,0.0
1,2035-01-01T00:00:00.000000-0800,wto200,0.048
1,2035-01-01T00:00:00.000000-0800,wto288,0.0
1,2035-01-01T00:00:00.000000-0800,wto295,0.0
1,2035-01-01T00:00:00.000000-0800,wto302,0.0
1,2035-01-01T00:00:00.000000-0800,wto303,0.0
1,2035-01-01T00:00:00.000000-0800,wto449,0.0
1,2035-01-01T00:00:00.000000-0800,wto634,0.323
1,2035-01-01T00:00:00.000000-0800,wto638,0.25
1,2035-01-01T00:00:00.000000-0800,wto796,0.0
1,2035-01-01T00:00:00.000000-0800,wto1053,0.0
1,2035-01-01T00:00:00.000000-0800,wto1133,0.0
1,2035-01-01T00:00:00.000000-0800,wto1329,0.079
1,2035-01-01T00:00:00.000000-0800,wto1330,0.0
1,2035-01-01T00:00:00.000000-0800,wto1376,0.0
1,2035-01-01T00:00:00.000000-0800,wto1402,0.22
1,2035-01-01T00:00:00.000000-0800,wto1486,0.0
1,2035-01-01T00:00:00.000000-0800,wto1542,0.006
1,2035-01-01T00:00:00.000000-0800,wto1607,0.0
1,2035-01-01T00:00:00.000000-0800,wto1619,0.0
1,2035-01-01T00:00:00.000000-0800,wto1625,0.0
1,2035-01-01T00:00:00.000000-0800,wto1641,0.0
1,2035-01-01T00:00:00.000000-0800,wto1680,0.0
1,2035-01-01T00:00:00.000000-0800,wto1681,0.0
1,2035-01-01T00:00:00.000000-0800,wto1682,0.0
1,2035-01-01T00:00:00.000000-0800,wto1683,0.01
1,2035-01-01T00:00:00.000000-0800,wto1783,0.0
1,2035-01-01T00:00:00.000000-0800,wto1838,0.0
1,2035-01-01T00:00:00.000000-0800,wto1849,0.0
1,2035-01-01T00:00:00.000000-0800,wto1851,0.0
1,2035-01-01T00:00:00.000000-0800,wto1852,0.0
1,2035-01-01T00:00:00.000000-0800,wto1853,0.0
1,2035-01-01T00:00:00.000000-0800,wto1854,0.0
1,2035-01-01T00:00:00.000000-0800,wto1855,0.0
1,2035-01-01T00:00:00.000000-0800,wto1856,0.0
1,2035-01-01T00:00:00.000000-0800,wto1858,0.0
1,2035-01-01T00:00:00.000000-0800,wto1860,0.0
1,2035-01-01T00:00:00.000000-0800,wto1864,0.0
1,2035-01-01T00:00:00.000000-0800,wto1918,0.0
1,2035-01-01T00:00:00.000000-0800,wto1927,0.0
1,2035-01-01T00:00:00.000000-0800,wto1928,0.0
1,2035-01-01T00:00:00.000000-0800,wto1929,0.0
1,2035-01-01T00:00:00.000000-0800,wto1931,0.0
1,2035-01-01T00:00:00.000000-0800,wto1932,0.047
1,2035-01-01T00:00:00.000000-0800,wto1933,0.07
1,2035-01-01T00:00:00.000000-0800,wto1993,0.0
1,2035-01-01T00:00:00.000000-0800,wto2203,0.0
1,2035-01-01T00:00:00.000000-0800,wto2204,0.023
1,2035-01-01T00:00:00.000000-0800,wto2208,0.0
1,2035-01-01T00:00:00.000000-0800,wto2264,0.0
1,2035-01-01T00:00:00.000000-0800,wto2305,0.0
1,2035-01-01T00:00:00.000000-0800,wto2314,0.049
1,2035-01-01T00:00:00.000000-0800,wto2399,0.041
1,2035-01-01T00:00:00.000000-0800,wto2406,0.0
1,2035-01-01T00:00:00.000000-0800,wto2407,0.0
1,2035-01-01T00:00:00.000000-0800,wto7830,0.0
1,2035-01-01T00:00:00.000000-0800,wto7938,0.0
1,2035-01-01T00:00:00.000000-0800,wto8403,0.0
1,2035-01-01T00:00:00.000000-0800,wto8456,0.0
1,2035-01-01T00:00:00.000000-0800,wto8507,0.0
1,2035-01-01T00:00:00.000000-0800,wto8534,0.0
1,2035-01-01T00:00:00.000000-0800,wto8535,0.0
1,2035-01-01T00:00:00.000000-0800,wto8593,0.0
1,2035-01-01T00:00:00.000000-0800,wto8680,0.0
1,2035-01-01T00:00:00.000000-0800,wto8712,0.253
