storage,scenario,timepoint,discharge_MW,charge_MW,state_of_charge_MWh
cats_1,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_2,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_3,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_4,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_5,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_6,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_7,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_8,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_9,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_10,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_11,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_12,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_13,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_14,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_15,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_16,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_17,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_18,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_19,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_20,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_21,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_22,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_23,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_24,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_25,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_26,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_27,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_28,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_29,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_30,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_31,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_32,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_33,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_34,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_35,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_36,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_37,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_38,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_39,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_40,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_41,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_42,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_43,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_44,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_45,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_46,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_47,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_48,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_49,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_50,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_51,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_52,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_53,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_54,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_55,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_56,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_57,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_58,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_59,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_60,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_61,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_62,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_63,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_64,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_65,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_66,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_67,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_68,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_69,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_70,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_71,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_72,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_73,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_74,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_75,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_76,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_77,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_78,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_79,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_80,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_81,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_82,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_83,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_84,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_85,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_86,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_87,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_88,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_89,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_90,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_91,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_92,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_93,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_94,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_95,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_96,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_97,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_98,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_99,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_100,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_101,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_102,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_103,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_104,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_105,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_106,1,2035-01-01T00:00:00.000000-0800,0.0,-0.0,0.0
cats_107,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_108,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_109,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_110,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_111,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_112,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_113,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_114,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_115,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_116,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_117,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_118,1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
